trial_number,learning_rate,batch_size,num_epochs,weight_decay,warmup_ratio,val_macro_f1,status
0,1.827226177606625e-05,16,3,0.015601864044243652,0.031198904067240532,0.892140,COMPLETE
1,1.097990803659665e-05,16,4,0.0020584494295802446,0.19398197043239887,0.894355,COMPLETE
2,3.818145165896875e-05,16,2,0.030424224295953775,0.10495128632644757,0.909119,COMPLETE
3,2.0040871876541563e-05,32,2,0.029214464853521818,0.07327236865873835,0.830129,COMPLETE
4,2.083431561152948e-05,16,3,0.05924145688620425,0.009290082543999545,0.899671,COMPLETE
5,2.658616083788978e-05,16,4,0.09656320330745594,0.16167946962329224,0.915365,COMPLETE
6,1.632735695468795e-05,32,3,0.012203823484477884,0.09903538202225404,0.857065,COMPLETE
7,1.0569064414047021e-05,16,3,0.031171107608941095,0.10401360423556216,0.866798,COMPLETE
8,2.4106495902171624e-05,32,4,0.09394989415641891,0.17896547008552977,0.900296,COMPLETE
9,2.6176655097040075e-05,16,2,0.004522728891053806,0.06506606615265287,0.887058,COMPLETE
10,4.712211818905428e-05,32,4,0.09351806059253871,0.14776930416669268,0.907718,COMPLETE
11,3.767428242755095e-05,16,2,0.06268836449065676,0.1463562624123778,0.894629,COMPLETE
12,3.177798376448743e-05,16,2,0.06867100160267273,0.15268820616053036,0.889474,COMPLETE
13,3.704588020481666e-05,16,4,0.04175536029418284,0.11715804258590257,0.919894,COMPLETE
14,3.106727938449221e-05,16,4,0.07816165242514143,0.13097756199554628,0.919960,COMPLETE
15,4.864505506874375e-05,16,4,0.04740702419355076,0.12471578009336433,0.919450,COMPLETE
16,3.402166936796693e-05,16,4,0.07614299614302539,0.0700318512169277,0.912601,COMPLETE
17,3.0140271419959983e-05,16,4,0.046858199224719316,0.12572338237703432,0.919027,COMPLETE
18,4.02811476504628e-05,32,3,0.07899656885313329,0.13066896305531894,0.899221,COMPLETE
19,1.5314036921470577e-05,16,4,0.05292490193599744,0.08970961137801522,0.894230,COMPLETE
20,4.271408271381157e-05,16,3,0.08010917469466877,0.17263954283037874,0.927230,COMPLETE
21,4.09581516979331e-05,16,3,0.08405371917283119,0.17192997503911023,0.925547,COMPLETE
22,4.490269603957896e-05,16,3,0.08360472424684219,0.17583841012608478,0.929709,COMPLETE
23,4.478350083705177e-05,16,3,0.08433962798704434,0.17660255490903248,0.925831,COMPLETE
24,4.5225116311231386e-05,16,3,0.0689155955247969,0.19595172350198045,0.917441,COMPLETE
25,4.4143236037111617e-05,16,3,0.08468671015942134,0.17588735969217884,0.924704,COMPLETE
26,4.889741197438842e-05,32,3,0.08795007958880698,0.18446593147190088,0.901295,COMPLETE
27,3.4832913340644036e-05,16,3,0.09987498781558302,0.16313373762519887,0.911966,COMPLETE
28,4.1300133239752294e-05,16,3,0.06927880543711622,0.19973892949847522,0.911393,COMPLETE
29,4.314608022149998e-05,16,3,0.08913109874024518,0.16175827829763054,0.910800,COMPLETE
